Year,Hosts,Venues/ Cities,Total attendance †,Matches,Average attendance,Highest attendances ‡,Highest attendances ‡,Highest attendances ‡
Year,Hosts,Venues/ Cities,Total attendance †,Matches,Average attendance,Number,Venue,Game(s)
1930,Uruguay,3/1,590549.0,18,32808.0,93000,"Estadio Centenario, Montevideo","Uruguay 6–1 Yugoslavia, semi-final"
1934,Italy,8/8,363000.0,17,21353.0,55000,"Stadio Nazionale PNF, Rome","Italy 2–1 Czechoslovakia, final"
1938,France,10/9,375700.0,18,20872.0,58455,"Olympique de Colombes, Paris","France 1–3 Italy, quarter-final"
1950,Brazil,6/6,1045246.0,22,47511.0,"173,850[96]","Maracanã Stadium, Rio de Janeiro","Brazil 1–2 Uruguay, deciding match"
1954,Switzerland,6/6,768607.0,26,29562.0,63000,"Wankdorf Stadium, Bern","West Germany 3–2 Hungary, final"
1958,Sweden,12/12,819810.0,35,23423.0,50928,"Ullevi Stadium, Gothenburg","Brazil 2–0 Soviet Union, group stage"
1962,Chile,4/4,893172.0,32,27912.0,68679,"Estadio Nacional, Santiago","Brazil 4–2 Chile, semi-final"
1966,England,8/7,1563135.0,32,48848.0,98270,"Wembley Stadium, London","England 4–2 West Germany, final"
1970,Mexico,5/5,1603975.0,32,50124.0,108192,"Estadio Azteca, Mexico City","Mexico 1–0 Belgium, group stage"
1974,West Germany,9/9,1865753.0,38,49099.0,83168,"Olympiastadion, Munich","West Germany 1–0 Chile, group stage"
1978,Argentina,6/5,1545791.0,38,40679.0,71712,"Estadio Monumental, Buenos Aires","Italy 1–0 Argentina, group stage"
1982,Spain,17/14,2109723.0,52,40572.0,95500,"Camp Nou, Barcelona","Argentina 0–1 Belgium, Opening match"
1986,Mexico,12/11,2394031.0,52,46039.0,114600,"Estadio Azteca, Mexico City","Mexico 1–1 Paraguay, group stage Argentina 3–2 West Germany, final"
1990,Italy,12/12,2516215.0,52,48389.0,74765,"San Siro, Milan","West Germany 4–1 Yugoslavia, group stage"
1994,United States,9/9,3587538.0,52,68991.0,94194,"Rose Bowl, Pasadena, California","Brazil 0–0 (3–2p) Italy, final"
1998,France,10/10,2785100.0,64,43517.0,80000,"Stade de France, Saint-Denis","Brazil 0–3 France, final"
2002,South Korea  Japan,20/20,2705197.0,64,42269.0,69029,"International Stadium, Yokohama, Japan","Brazil 2–0 Germany, final"
2006,Germany,12/12,3359439.0,64,52491.0,72000,"Olympiastadion, Berlin","Germany 1–1 (4–2p) Argentina, quarter-final"
2010,South Africa,10/9,3178856.0,64,49670.0,84490,"Soccer City, Johannesburg","Spain 1–0 Netherlands, final"
2014,Brazil,12/12,3429873.0,64,53592.0,74738,"Maracanã Stadium, Rio de Janeiro","Germany 1–0 Argentina, final"
2018,Russia,12/11,3031768.0,64,47371.0,78011,"Luzhniki Stadium, Moscow","France 4–2 Croatia, final"
2022,Qatar,8/5,3404252.0,64,53191.0,88966,"Lusail Stadium, Qatar","Argentina 3–3 (4–2p) France, final"
2026,Canada  Mexico  USA,,,80,,,,
Overall,Overall,Overall,43936730.0,964,45577.0,"173,850[96]","Maracanã Stadium, Rio de Janeiro (1950)",
