,Place,Weight (lbs),Grower Name,City,State/Prov,Country,GPC Site,Seed (Mother),Pollinator (Father),OTT,Est. Weight,Pct. Chart,weight,est_weight
0,1,325.40,"Mudd, Framk",Vine Grove,Kentucky,United States,Allardt Pumpkin Festival,305 Mudd 16,305 Mudd,223.0,303.00,7.0,325.4,303.0
1,2,309.00,"McCaslin, Nick",Hawesville,Kentucky,United States,Chillicothe Halloween Festival,301.5 McCaslin,Self,224.0,307.00,1.0,309.0,307.0
2,3,306.00,"Vial, Andrew",Liberty,North Carolina,United States,NC State Fair GPC Weigh-Off,341.5 Vial 19,330.5 Vial B 19,223.0,301.00,2.0,306.0,301.0
3,4,302.50,"Mudd, Frank",Vine Grove,Kentucky,United States,Roberts Family Farms,305 Mudd 16,Self,221.0,297.00,2.0,302.5,297.0
4,5,291.50,"VanBeck, Patrick",Willlow Spring,North Carolina,United States,NC State Fair GPC Weigh-Off,Carolina Cross Burpee,305 Vial DMG,221.0,297.00,-2.0,291.5,297.0
5,6,291.00,"Vanbeck, Patrick",Willow Spring,North Carolina,United States,Spring Hope National Pumpkin Festival,,,219.0,288.00,1.0,291.0,288.0
6,7,287.00,"Kent, Chris",Sevierville,Tennessee,United States,NC State Fair GPC Weigh-Off,291.4 Terry 21,330 Vial 19,212.0,263.00,9.0,287.0,263.0
7,8,282.00,"McCaslin, Nick",Hawesville,Kentucky,United States,Roberts Family Farms,298 McCaslin,Self,213.0,268.00,5.0,282.0,268.0
8,9,276.00,"Houston, Hank",Spotsylvainia,Virginia,United States,Spring Hope National Pumpkin Festival,,,212.0,264.00,5.0,276.0,264.0
9,9,276.00,"Dawson, Todd",Garner,North Carolina,United States,NC State Fair GPC Weigh-Off,302 Kent,Sibb,209.0,253.00,9.0,276.0,253.0
10,9,276.00,"Houston, Hank",Spotsylvania,Virginia,United States,NC State Fair GPC Weigh-Off,268 Houston 20,self,216.0,278.00,-1.0,276.0,278.0
11,12,270.00,"Vial, Andrew",Liberty,North Carolina,United States,Spring Hope National Pumpkin Festival,,,217.0,279.00,-3.0,270.0,279.0
12,13,267.00,"Wells, Davis",Mechanicsville,Virginia,United States,Spring Hope National Pumpkin Festival,300.5 Young,SELF,213.0,267.00,0.0,267.0,267.0
13,13,267.00,"Williams, Luke",Hartfield,Virginia,United States,Spring Hope National Pumpkin Festival,,,210.0,256.00,4.0,267.0,256.0
15,15,259.50,"Williams, Luke",Hartfield,Virginia,United States,State Fair of Virginia Giant Pumpkin Weigh-off,350.5 Kent,Open,213.0,267.00,-3.0,259.5,267.0
17,16,254.00,"Vail, Andrew",Liberty,North Carolina,United States,Yadkin Valley Pumpkin Weigh-off,330.5 Vial A,330.5 Vial B,206.0,243.00,5.0,254.0,243.0
18,17,250.00,"VanBeck, Patrick",Willow Spring,North Carolina,United States,Tennessee Valley Fair,,,210.0,255.00,-2.0,250.0,255.0
19,18,249.50,"Smiley, Samantha",Harned,Kentucky,United States,Chillicothe Halloween Festival,220.5 Smiley,Self,197.0,214.00,17.0,249.5,214.0
21,19,248.00,"Houston, Hank",Spotsylvania,Virginia,United States,State Fair of Virginia Giant Pumpkin Weigh-off,226 Houston 17,self,210.0,256.00,-3.0,248.0,256.0
22,19,248.00,"Mudd, Frank",Vine Grove,Kentucky,United States,Kentucky State Fair Largest Pumpkin Contest,,,0.0,0.00,0.0,248.0,0.0
